sample_start,sample_end,record_number,unique_storm_id,runoff_volume,percent_runoff_sampled,number_of_samples,comments,discrete,estimated,exclude,frozen,unique_storm_number,storm_start,storm_end,storm_type,storm_precipitation_inches,storm_erosivity_index,peak_discharge,storm_runoff_cubic_feet,storm_runoff_inches,suspended_sediment_80154_mg_l,flag_suspended_sediment,suspended_sediment_load_pounds,suspended_sediment_yield_pounds_per_acre,chloride_00940_mg_l,flag_chloride,chloride_load_pounds,chloride_yield_pounds_per_acre,no2_no3n_00631_mg_l,flag_no2_no3n,no2_no3n_load_pounds,no2_no3n_yield_pounds_per_acre,ammonium_n_00608_mg_l,flag_ammonium_n,ammonium_n_load_pounds,ammonium_n_yield_pounds_per_acre,tkn_unfiltered_00625_mg_l,flag_tkn_unfiltered,tkn_unfiltered_load_pounds,tkn_unfiltered_yield_pounds_per_acre,orthophosphate_00671_mg_l,flag_orthophosphate,orthophosphate_load_pounds,orthophosphate_yield_pounds_per_acre,tp_unfiltered_00665_mg_l,flag_tp_unfiltered,tp_unfiltered_load_pounds,tp_unfiltered_yield_pounds_per_acre,total_nitrogen_computed_mg_l,total_nitrogen_load_in_pounds,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_computed_mg_l,organic_nitrogen_load_pounds,organic_nitrogen_yield_pounds_per_acre
01/10/13 20:00,01/13/13 21:33,029-13-6,ESW2-1,72775,,5,,0,0,0,1,1,1/10/2013 19:53,1/13/2013 21:34,,,,1.6655,72775,0.740,8188,,37199.7,1372.7,123.0,,558.8,20.6,31.7,,144.02,5.31,3.53,,16.04,0.59,12.6,,57.24,2.11,1.36,,6.19,0.23,3.17,,14.40,0.53,44.3,201.26,7.43,9.1,41.21,1.52
,,,,,,,,0,1,0,1,2,1/28/2013 3:15,1/28/2013 16:15,,,,0.4313,8588,0.087,333,,178.5,6.6,9.9,,5.3,0.2,3.1,,1.66,0.06,0.94,,0.50,0.02,3.64,,1.95,0.07,0.907,,0.49,0.02,1.38,,0.74,0.03,6.7,3.61,0.13,2.7,1.45,0.05
01/29/13 02:53,01/30/13 11:01,038-13-2,ESW2-2,49136,,10,,0,0,0,1,3,1/29/2013 2:49,1/30/2013 11:03,,,,1.866,49136,0.499,333,,1021.5,37.7,9.9,,30.4,1.1,3.1,,9.51,0.35,0.94,,2.88,0.11,3.64,,11.17,0.41,0.91,,2.78,0.10,1.38,,4.23,0.16,6.7,20.67,0.76,2.7,8.28,0.31
02/11/13 10:30,,062-13-2,ESW2-2,,,1,estimated Q,1,1,0,1,4,2/10/2013 13:26,2/11/2013 16:15,,,,0.2387,15612,0.159,30,HT,29.2,1.1,1.9,,1.9,0.1,1.1,,1.07,0.04,0.53,,0.52,0.02,1.28,,1.25,0.05,0.26,,0.26,0.01,0.38,,0.37,0.01,2.4,2.32,0.09,0.8,0.73,0.03
03/09/13 17:42,03/13/13 08:00,090-13-10,ESW2-3,193847,,21,,0,0,0,1,5,3/9/2013 17:31,3/15/2013 21:26,,,,2.552,197199,2.005,43,HT,529.4,19.5,1.4,,17.2,0.6,0.8,,9.85,0.36,0.47,,5.79,0.21,1.4,,17.24,0.64,0.33,,4.03,0.15,0.491,,6.04,0.22,2.2,27.08,1.00,0.9,11.45,0.42
,,,,,,,,0,1,0,1,6,3/26/2013 11:45,3/27/2013 8:00,,,,0.1294,5918,0.060,613,,226.5,8.4,5.1,,1.9,0.1,0.9,,0.33,0.01,0.6,,0.22,0.01,3.74,,1.38,0.05,0.59,,0.22,0.01,1.35,,0.50,0.02,4.6,1.71,0.06,3.1,1.16,0.04
03/27/13 08:00,03/28/13 07:43,114-13-1,ESW2-4a,58562,,8,,0,0,0,1,7,3/27/2013 8:00,3/28/2013 7:43,,,,3.03,58562,0.595,613,HT,2241.1,82.7,5.1,,18.6,0.7,0.9,,3.29,0.12,0.6,,2.19,0.08,3.74,,13.67,0.50,0.59,,2.16,0.08,1.35,,4.94,0.18,4.6,16.96,0.63,3.1,11.48,0.42
03/28/13 07:43,03/30/13 11:02,114-13-2,ESW2-4b,96932,,20,,0,0,0,1,8,3/28/2013 7:43,3/30/2013 11:02,,,,2.3313,96932,0.985,37193,HT,225066.2,8305.0,11.9,,72.0,2.7,1.2,,7.26,0.27,0.85,,5.14,0.19,29.9,,180.93,6.68,0.36,,2.17,0.08,20,,121.03,4.47,31.1,188.20,6.94,29.1,175.79,6.49
03/30/13 11:02,03/31/13 23:10,114-13-3,ESW2-4c,39874,,12,,0,0,0,1,9,3/30/2013 11:02,3/31/2013 23:10,,,,1.1224,39874,0.405,435,HT,1082.8,40.0,26.4,,65.7,2.4,2.3,,5.73,0.21,2.96,,7.37,0.27,6.4,,15.93,0.59,1.73,,4.31,0.16,2.34,,5.82,0.21,8.7,21.66,0.80,3.4,8.56,0.32
04/01/13 16:25,,126-13-2,ESW2-4d-1,,,1,,1,0,0,1,10,3/31/2013 23:10,4/6/2013 10:15,,,,0.1541,20788,0.211,222,HT,288.1,10.6,34.8,,45.2,1.7,0.9,,1.17,0.04,4.67,,6.06,0.22,8.47,,10.99,0.41,1.99,,2.58,0.10,2.4,,3.11,0.11,9.4,12.16,0.45,3.8,4.93,0.18
